,Amount,Consume,Necessity,Days
349,674,13,Medium,51
350,469,23,High,16
351,471,2,High,228
352,153,32,Low,1
353,901,21,Medium,42
354,303,14,High,22
355,276,11,Medium,28
356,161,33,Low,8
357,559,21,High,28
358,522,9,Medium,53
359,148,34,High,6
360,202,28,Low,7
361,910,43,Low,21
362,963,6,Low,141
363,945,39,Low,27
364,927,34,High,25
365,387,6,High,56
366,755,35,Medium,22
367,871,22,Medium,34
368,212,47,High,4
369,769,7,High,100
370,730,32,Medium,23
371,210,19,High,10
372,629,47,Low,11
373,850,17,Low,46
374,447,48,Low,11
375,326,45,Medium,7
376,865,14,High,61
377,965,40,Medium,19
378,553,49,Medium,12
379,945,13,High,74
380,441,22,Medium,22
381,184,26,Low,7
382,244,15,High,13
383,689,11,Low,58
384,82,14,High,4
385,737,22,Low,31
386,509,9,Low,58
387,932,43,Low,19
388,519,35,High,13
389,424,5,High,83
390,71,32,High,6
391,799,33,Medium,23
392,719,47,Low,11
393,87,1,Medium,71
394,279,13,Medium,26
395,414,46,Low,5
396,612,46,High,13
397,487,36,Medium,10
398,825,38,High,19
399,332,5,High,59
400,275,12,Medium,24
401,326,9,Medium,33
402,847,40,High,19
403,658,7,Low,85
404,333,23,Medium,16
405,928,46,High,19
406,530,10,High,56
407,502,48,High,9
408,878,49,Low,18
409,865,28,Low,28
410,708,9,High,74
411,565,16,High,36
412,596,21,Low,29
413,241,16,High,18
414,98,14,High,7
415,561,48,Low,14
416,66,8,High,9
417,221,36,High,5
418,207,30,Low,6
419,526,45,Low,9
420,95,15,Low,8
421,422,10,Medium,44
422,567,32,Medium,15
423,148,35,Medium,6
424,941,34,Medium,24
425,794,16,Low,50
426,86,13,High,6
427,329,47,Low,7
428,398,46,Medium,11
429,546,23,Low,24
430,351,42,High,8
431,230,23,Medium,11
432,656,21,High,28
433,148,8,High,13
434,749,21,High,36
435,165,27,Medium,3
436,240,2,Low,115
437,302,22,Medium,13
438,977,39,Medium,24
439,210,34,Low,4
440,305,32,Low,8
441,372,45,Low,8
442,177,1,Low,94
443,842,39,Medium,22
444,784,27,Medium,30
445,615,16,Medium,37
446,619,7,Low,79
447,372,44,Medium,10
448,921,24,High,39
449,735,44,Medium,12
450,841,29,Medium,28
451,675,34,High,23
452,337,40,High,10
453,992,33,Medium,32
454,903,20,Low,42
455,712,26,Low,27
456,688,40,Medium,16
457,204,19,Medium,10
458,539,20,Medium,25
459,435,5,Medium,74
460,834,45,Low,18
461,153,5,Medium,26
462,978,32,High,31
463,442,21,Low,20
464,860,20,Low,37
465,295,34,High,11
466,225,4,Medium,53
467,88,30,Medium,2
468,526,38,Medium,12
469,731,41,Medium,15
470,808,9,Medium,86
471,587,44,High,14
472,916,33,Medium,31
473,867,44,High,19
474,970,24,High,39
475,457,27,High,18
476,574,46,Medium,10
477,877,45,Medium,19
478,555,22,Low,22
479,952,14,Low,66
480,874,20,High,45
481,734,15,High,50
482,69,14,Low,5
483,370,43,Medium,8
484,825,4,Medium,189
485,561,34,High,14
486,449,9,High,44
487,703,17,Medium,37
488,932,4,Medium,233
489,520,14,Medium,35
490,192,38,Low,3
491,141,44,Low,1
492,403,11,Low,34
493,883,23,Low,37
494,849,24,High,32
495,776,43,High,14
496,903,38,Low,22
497,100,26,High,5
498,714,33,Low,20
499,747,42,Low,14
500,239,20,Low,11
501,199,37,Low,2
502,363,27,Medium,14
503,619,26,High,20
504,391,18,Medium,23
505,354,26,Low,10
506,741,33,Low,19
507,731,21,Low,34
508,887,35,Low,23
509,832,43,High,18
510,103,8,Low,12
511,493,23,Medium,20
512,662,20,High,29
513,313,34,High,10
514,102,13,High,8
515,621,32,Medium,19
516,669,43,Medium,15
517,152,45,Medium,1
518,245,49,Low,4
519,823,6,Low,131
520,926,12,Medium,74
521,933,47,Medium,18
522,399,47,Low,8
523,96,5,Low,16
524,872,8,High,95
525,985,49,High,19
526,869,9,Medium,86
527,705,25,High,26
528,318,42,Low,5
529,419,1,High,210
530,685,30,Medium,19
531,155,14,High,12
532,719,43,High,17
533,708,14,High,51
534,706,34,Low,23
535,169,34,Low,3
536,880,11,Low,76
537,653,21,High,31
538,107,15,Low,10
539,1000,40,Low,23
540,395,40,High,9
541,790,23,Medium,29
542,523,30,High,18
543,166,30,Medium,9
544,879,41,High,22
545,840,21,Low,41
546,176,14,Low,14
547,442,13,Low,30
548,957,27,Medium,35
549,690,23,High,30
550,107,22,Medium,2
551,683,5,Low,127
552,562,36,Medium,14
553,800,11,Medium,69
554,851,10,Medium,79
555,145,21,High,6
556,687,12,Medium,62
557,167,29,Medium,4
558,609,19,Medium,28
559,650,22,Low,28
560,537,27,Low,17
561,286,10,High,25
562,934,8,Low,109
563,946,44,High,19
564,321,22,Low,13
565,238,21,High,11
566,496,25,High,19
567,630,28,Low,22
568,839,28,Medium,29
569,910,35,Low,25
570,296,9,Medium,31
571,125,13,Low,8
572,203,40,Medium,2
573,705,47,Low,12
574,484,7,High,60
575,135,25,High,7
576,746,11,High,61
577,334,3,Medium,85
578,269,16,Medium,14
579,118,8,High,16
580,96,35,Medium,1
581,143,27,High,5
582,799,8,Low,100
583,253,40,Medium,5
584,961,9,Low,98
585,267,30,Medium,9
586,523,17,Medium,26
587,481,29,Medium,12
588,390,16,Low,24
589,600,5,High,115
590,661,11,High,56
591,338,10,Low,32
592,303,21,Low,12
593,783,33,Low,26
594,406,13,High,32
595,72,1,Low,45
596,811,26,High,29
597,571,30,Low,16
598,807,48,Medium,17
599,886,29,High,27
600,149,24,High,3
601,851,29,Low,28
602,229,46,Medium,5
603,272,41,High,9
604,955,16,Low,57
605,811,12,Medium,65
606,708,13,High,53
607,491,25,Low,20
608,657,37,Medium,16
609,818,25,High,33
610,374,4,High,88
611,565,36,Medium,16
612,65,40,Low,1
613,841,15,Low,56
614,385,33,Medium,12
615,808,21,High,33
616,307,44,Medium,7
617,546,42,Medium,15
618,945,26,Medium,37
619,209,34,High,6
620,524,44,Medium,12
621,901,25,Medium,34
622,713,16,High,43
623,957,37,High,26
624,739,11,Medium,63
625,724,20,Low,37
626,429,43,Medium,8
627,594,36,High,18
628,978,20,High,45
629,740,11,High,64
630,476,18,Low,24
631,662,14,High,44
632,317,9,Low,36
633,884,37,High,24
634,626,13,High,47
635,466,23,Medium,22
636,217,19,Low,5
637,891,49,Medium,17
638,92,20,Low,3
639,605,4,High,121
640,334,5,High,58
641,446,29,Low,14
642,61,30,Medium,3
643,656,21,Low,30
644,351,22,Low,17
645,302,26,High,13
646,548,25,Low,20
647,803,8,High,92
648,84,6,Medium,10
649,776,7,High,109
650,898,5,Medium,149
651,139,30,Medium,3
652,825,10,Medium,79
653,654,13,High,46
654,971,9,Low,105
655,651,47,High,11
656,467,42,Medium,8
657,164,12,Low,13
658,666,17,High,42
659,952,11,Medium,82
660,245,25,Medium,8
661,550,33,High,18
662,675,26,Low,24
663,542,45,Low,12
664,124,9,Low,13
665,462,40,Low,11
666,425,39,High,9
667,469,7,Low,68
668,778,20,Medium,43
669,810,13,Medium,57
670,725,13,Low,52
671,443,28,Medium,11
672,918,21,High,43
673,506,47,Low,14
674,969,7,Low,133
675,241,48,Low,7
676,788,12,High,67
677,738,38,Low,17
678,148,17,Low,8
679,597,8,Medium,75
680,145,43,Medium,4
681,713,16,Low,45
682,712,33,High,23
683,239,28,Medium,6
684,785,24,Low,32
685,86,25,Medium,6
686,829,36,Medium,25
687,418,5,High,79
688,744,33,Low,20
689,574,44,Medium,14
690,328,3,Low,86
691,266,7,High,34
692,916,36,High,26
693,922,22,Medium,39
694,847,20,High,42
695,322,7,Medium,42
696,930,25,Low,38
697,111,7,Medium,15
698,645,24,Medium,27
699,929,38,High,25
700,778,13,Low,55
701,391,24,Low,14
702,446,49,Medium,10
703,748,34,Low,19
704,226,21,Medium,9
705,661,38,Medium,17
706,445,2,Low,150
707,494,7,Medium,67
708,282,10,High,24
709,964,20,Low,45
710,125,42,Medium,2
711,314,17,Low,13
712,504,33,Low,17
713,845,35,High,23
714,767,29,High,25
715,784,18,Low,43
716,433,29,High,15
717,613,17,Medium,35
718,900,5,Low,176
719,555,49,High,11
720,416,7,Low,59
721,193,4,Low,43
722,934,44,Medium,24
723,118,15,Medium,7
724,148,32,Medium,5
725,445,17,High,25
726,74,20,High,4
727,997,13,High,72
728,940,17,Medium,51
729,518,21,Low,23
730,533,36,Medium,15
731,614,26,High,24
732,200,47,High,7
733,193,3,High,63
734,618,25,Medium,22
735,88,29,High,2
736,158,46,Medium,4
737,742,3,Low,213
738,91,29,Medium,3
739,235,42,High,6
740,984,12,Low,77
741,447,43,High,9
742,272,1,Low,138
743,683,36,High,18
744,182,46,Medium,1
745,212,33,High,7
746,264,22,Medium,11
747,782,3,Medium,247
748,284,46,Low,2
749,892,24,Medium,36
750,800,34,Medium,25
751,637,24,Low,27
752,58,7,High,6
753,123,11,High,9
754,541,4,Medium,125
755,962,29,Medium,33
756,302,31,High,11
757,279,25,Medium,10
758,568,41,High,14
759,223,43,Low,6
760,702,31,Medium,21
761,217,1,Medium,128
762,219,35,High,8
763,442,21,High,21
764,995,28,Low,32
765,844,32,Medium,26
766,683,18,High,38
767,243,45,Low,7
768,566,7,High,75
769,78,33,High,3
770,214,1,Low,176
771,471,46,Low,8
772,388,6,Low,60
773,697,5,Low,123
774,545,17,Low,29
775,414,19,Low,20
776,882,11,Medium,74
777,391,29,Low,15
778,549,22,Medium,28
779,560,16,High,34
780,376,40,Low,9
781,266,34,High,7
782,350,36,Low,7
783,181,35,Low,9
784,853,16,Medium,50
785,119,5,High,18
786,301,14,Low,20
787,464,41,High,10
788,836,49,Medium,18
789,494,25,High,18
790,231,7,Medium,28
791,216,16,Medium,12
792,140,29,Low,4
793,763,4,Low,162
794,907,47,High,18
795,580,18,Low,28
796,88,45,Low,4
797,175,39,High,7
798,500,38,Medium,15
799,222,30,Medium,4
800,702,31,High,22
801,803,32,Low,24
802,269,31,High,7
803,687,28,High,22
804,107,49,Low,7
805,709,36,High,18
806,525,39,Low,11
807,505,43,Low,11
808,878,11,High,77
809,944,5,Medium,184
810,410,24,Low,17
811,984,26,Medium,39
812,436,22,Medium,19
813,397,28,High,12
814,239,26,Low,7
815,554,2,High,196
816,240,31,High,7
817,557,41,High,11
818,418,8,Low,47
819,458,30,High,12
820,873,30,High,28
821,978,9,Low,106
822,983,7,High,140
823,166,49,Low,7
824,183,20,High,8
825,107,12,Medium,7
826,605,9,High,64
827,734,33,Medium,24
828,721,30,Low,24
829,222,32,Medium,6
830,878,5,Low,161
831,864,44,High,19
832,198,20,Medium,11
833,129,16,High,9
834,935,23,Medium,42
835,262,20,Low,11
836,252,43,Low,5
837,813,46,Low,17
838,278,15,Low,18
839,725,43,High,16
840,276,39,High,8
841,708,46,High,14
842,581,13,High,43
843,490,29,High,18
844,451,14,Low,31
845,96,41,High,3
846,282,1,High,223
847,354,28,High,13
848,575,17,Low,30
849,192,16,Low,9
850,464,32,Low,16
851,562,42,Low,13
852,422,30,High,13
853,615,42,High,12
854,935,13,Medium,68
855,308,26,High,15
856,705,23,Low,31
857,61,28,High,4
858,379,33,Medium,12
859,785,30,Low,25
860,833,37,Medium,25
861,407,28,Low,13
862,457,4,Low,104
863,717,6,High,106
864,422,30,Low,15
865,57,14,Medium,2
866,171,4,Medium,31
867,397,22,High,20
868,725,28,Low,31
869,139,17,Medium,7
870,697,36,High,17
871,747,32,Medium,20
872,365,17,High,19
873,227,37,Medium,2
874,589,32,Low,15
875,781,32,Medium,24
876,918,28,Medium,29
877,90,1,High,54
878,789,35,High,22
879,753,19,High,37
880,972,47,Medium,21
881,551,41,High,12
882,194,29,Low,6
883,250,13,High,20
884,978,10,High,87
885,773,17,Low,45
886,510,24,High,20
887,781,15,High,48
888,801,26,Medium,28
889,974,9,Medium,103
890,958,48,High,17
891,607,6,Low,92
892,596,46,High,10
893,302,45,High,8
894,439,26,High,16
895,643,36,Medium,16
896,932,22,Low,40
897,305,31,Low,9
898,758,17,Low,42
899,864,15,Medium,52
900,970,29,Medium,34
901,499,25,High,18
902,59,29,Medium,2
903,873,15,High,57
904,847,18,Medium,41
905,291,5,High,59
906,300,3,Medium,84
907,926,13,Low,68
908,54,4,High,12
909,168,6,Medium,25
910,850,40,Medium,17
911,423,2,High,146
912,114,33,Medium,5
913,195,14,Low,14
914,273,43,High,7
915,288,24,High,9
916,226,15,High,13
917,828,26,High,30
918,902,19,High,47
919,331,28,Low,12
920,112,6,High,19
921,903,21,Low,39
922,876,18,Low,51
923,844,35,High,23
924,738,18,Low,41
925,510,41,High,12
926,978,23,Low,46
927,659,36,High,20
928,154,6,Medium,24
929,148,42,Medium,3
930,560,37,Low,15
931,434,11,Medium,35
932,454,8,Low,54
933,872,16,Low,51
934,567,48,Low,12
935,525,13,Medium,37
936,758,23,Low,32
937,694,20,Medium,34
938,919,28,High,34
939,820,47,Medium,19
940,486,26,High,15
941,72,41,Low,1
942,614,27,Low,21
943,726,2,High,240
944,763,16,Low,50
945,507,29,High,16
946,132,47,High,1
947,194,43,Low,8
948,134,12,High,12
949,127,11,High,9
950,506,10,High,48
951,927,46,Low,19
952,734,20,Low,31
953,766,25,Low,26
954,821,23,Medium,32
955,495,13,Medium,37
956,498,25,High,19
957,537,7,Low,69
958,849,44,Low,22
959,83,37,Low,5
960,397,21,High,18
961,144,26,High,4
962,121,19,High,5
963,600,37,High,16
964,203,39,High,8
965,299,38,High,7
966,723,36,Medium,16
967,487,11,Low,47
968,167,17,Medium,8
969,820,24,High,37
970,940,17,Low,55
971,355,37,Low,9
972,317,17,Low,20
973,103,7,Medium,11
974,285,20,Low,13
975,438,49,High,7
976,783,12,High,64
977,812,30,Medium,27
978,874,22,Medium,40
979,450,4,High,97
980,673,24,Medium,25
981,352,26,Medium,14
982,968,43,Low,19
983,256,15,Low,18
984,278,5,Low,50
985,902,46,Low,19
986,959,19,Low,51
987,627,29,High,18
988,124,39,High,3
989,484,16,High,28
990,152,36,Low,2
991,471,7,Medium,59
992,753,15,Medium,47
993,813,8,Low,98
994,787,40,Medium,18
995,855,11,Low,70
996,355,36,Medium,10
997,147,47,Low,4
998,899,26,Medium,30
999,847,27,Medium,30
1000,384,23,High,14
1001,908,16,Medium,51
1002,484,24,Medium,16
1003,496,30,Low,12
1004,357,49,Medium,6
1005,298,46,Medium,7
1006,215,43,Medium,5
1007,530,44,Medium,9
1008,384,23,Medium,13
1009,591,33,High,18
1010,808,44,Medium,17
1011,155,20,Low,9
1012,612,48,Low,10
1013,130,21,Medium,2
1014,182,30,Medium,7
1015,846,35,Medium,19
1016,949,47,High,17
1017,187,12,Low,13
1018,233,37,High,5
1019,450,26,High,18
1020,379,14,Medium,24
1021,834,39,Medium,23
1022,557,28,Low,16
1023,901,33,Medium,26
1024,118,16,Low,8
1025,595,24,High,25
1026,823,31,Low,20
1027,102,20,Low,10
1028,499,10,Low,45
1029,254,48,High,5
1030,175,26,High,6
1031,796,36,Medium,25
1032,92,21,Medium,6
1033,801,18,Low,47
1034,932,20,Low,45
1035,160,21,High,9
1036,810,27,High,27
1037,712,27,High,25
1038,232,25,Low,10
1039,897,7,Low,118
1040,144,25,High,5
1041,423,9,Low,44
1042,961,7,High,136
1043,569,46,Medium,14
1044,949,30,High,33
1045,409,33,Low,12
1046,949,20,Low,45
1047,745,45,Low,18
1048,330,32,Low,12
1049,244,38,High,4
1050,913,19,High,48
1051,244,48,Medium,6
1052,716,41,High,16
1053,142,42,Medium,5
1054,721,9,High,77
1055,995,14,High,68
1056,110,14,Low,4
1057,683,14,Medium,49
1058,100,42,Low,6
1059,452,2,Low,176
1060,838,4,High,178
1061,54,14,High,1
1062,515,10,Medium,47
1063,653,12,Medium,52
1064,731,40,High,16
1065,878,28,Medium,31
1066,454,22,High,20
1067,887,20,High,42
1068,562,6,Medium,89
1069,694,34,Low,19
1070,282,35,Medium,5
1071,573,36,Low,13
1072,395,36,Medium,11
1073,95,1,Low,89
1074,595,47,Low,11
1075,994,40,Medium,22
1076,127,45,Medium,2
1077,862,46,High,19
1078,972,40,Low,25
1079,122,42,Low,5
1080,843,5,High,150
1081,298,37,Low,6
1082,96,48,High,3
1083,170,34,High,1
1084,263,28,Medium,10
1085,288,47,Low,6
1086,105,22,Low,5
1087,399,30,High,13
1088,156,24,Low,6
1089,880,46,High,19
1090,97,4,Low,18
1091,622,25,Low,23
1092,386,34,High,14
1093,75,39,High,3
1094,853,29,Low,30
1095,306,45,Low,6
1096,57,47,High,1
1097,674,4,Medium,163
1098,916,20,Medium,46
1099,302,2,Low,140
1100,741,17,Low,44
1101,768,27,Low,29
1102,352,45,High,9
1103,688,42,Low,15
1104,105,7,Low,17
1105,775,5,Low,136
1106,575,29,Medium,16
1107,523,27,Low,20
1108,77,14,Low,6
1109,127,45,High,2
1110,265,46,Medium,4
1111,435,20,High,20
1112,414,44,Low,7
1113,715,19,Low,36
1114,575,37,Low,12
1115,748,24,Low,33
1116,361,7,Low,52
1117,932,46,High,22
1118,56,23,Low,2
1119,52,36,Low,1
1120,672,18,Medium,35
1121,799,5,Low,132
1122,412,25,Low,14
1123,800,34,Low,22
1124,557,17,Low,30
1125,323,35,Low,11
1126,555,35,Low,14
1127,855,35,High,24
1128,788,25,High,32
1129,932,45,High,22
1130,64,24,Medium,3
1131,241,23,Low,10
1132,680,10,Medium,66
1133,534,16,Medium,30
1134,77,3,Medium,23
1135,763,32,High,24
1136,88,13,Low,6
1137,322,15,Low,21
1138,280,38,Medium,7
1139,135,17,High,8
1140,523,12,Medium,42
1141,175,9,Medium,19
1142,861,38,Low,23
1143,586,7,High,78
1144,194,23,Low,6
1145,574,25,Medium,23
1146,261,34,Low,7
1147,74,32,Medium,2
1148,629,40,High,14
1149,443,3,Low,137
1150,116,15,Low,8
1151,282,14,Low,18
1152,158,8,Low,17
1153,195,15,Low,11
1154,160,16,High,8
1155,277,26,High,9
1156,160,33,Low,4
1157,519,19,Medium,29
1158,83,36,Medium,4
1159,672,17,Low,39
1160,825,15,Low,57
1161,985,27,High,35
1162,418,2,High,194
1163,797,4,Low,162
1164,644,21,Low,30
1165,603,47,Medium,11
1166,474,36,High,12
1167,662,5,Low,122
1168,567,42,High,14
1169,741,36,Low,20
1170,331,30,Low,6
1171,369,41,Low,9
1172,787,20,Low,38
1173,492,11,Medium,44
1174,364,26,Low,15
1175,926,27,Medium,35
1176,790,27,Medium,26
1177,426,28,Low,17
1178,338,47,High,6
1179,486,45,High,9
1180,711,43,Low,11
1181,326,40,Low,10
1182,759,47,Low,15
1183,631,5,High,108
1184,552,13,High,40
1185,673,25,Low,30
1186,565,42,High,12
1187,399,25,Medium,15
1188,892,37,High,25
1189,495,7,High,62
1190,879,13,Low,64
1191,399,36,Medium,6
1192,656,9,Low,74
1193,713,18,High,39
1194,872,13,Medium,63
1195,186,18,Low,9
1196,808,35,High,23
1197,948,19,Medium,48
1198,292,28,Low,10
1199,592,5,Medium,100
1200,89,40,High,4
1201,278,19,Low,15
1202,597,32,High,16
1203,969,36,Medium,27
1204,272,11,High,23
1205,371,31,Low,12
1206,517,22,High,23
1207,781,9,Low,76
1208,124,47,Low,1
1209,53,37,Low,2
1210,896,11,Low,80
1211,695,17,High,40
1212,167,40,High,7
1213,930,35,Low,28
1214,655,38,Low,16
1215,553,22,Medium,23
1216,996,36,Low,26
1217,623,19,Medium,30
1218,490,11,Medium,39
1219,243,32,Low,5
1220,896,48,High,19
1221,764,16,Medium,50
1222,441,23,High,18
1223,484,27,Low,10
1224,222,42,Low,8
1225,349,38,Low,6
1226,694,3,Medium,177
1227,375,49,Medium,6
1228,459,37,High,12
1229,167,43,High,3
1230,885,32,Medium,25
1231,836,42,Low,20
1232,773,6,High,117
1233,274,18,Medium,14
1234,581,43,High,12
1235,162,10,Medium,13
1236,189,4,Low,36
1237,608,39,Medium,12
1238,139,8,Medium,16
1239,703,42,High,17
1240,369,34,High,10
1241,599,26,High,22
1242,854,41,Low,22
1243,943,21,Low,44
1244,188,10,Medium,21
1245,560,14,Medium,36
1246,917,25,High,33
1247,894,27,Low,35
1248,308,40,Medium,7
1249,722,39,Medium,16
